City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,keflavik,64.0049,-22.5624,10.24,81,100,18.01,IS,1697680301
310,karratha,-20.7377,116.8463,35.89,15,0,2.82,AU,1697680301
311,sepang,-8.3089,114.9171,29.31,52,43,0.31,ID,1697680301
312,kone,-21.0595,164.8658,25.34,48,51,4.11,NC,1697680302
313,chicoana,-25.1009,-65.5331,17.03,78,96,2.02,AR,1697680034
314,nantucket,41.2835,-70.0995,16.03,88,44,3.47,US,1697680302
315,bamboo flat,11.7,92.7167,27.05,83,75,0.51,IN,1697680302
316,oriximina,-1.7656,-55.8661,25.27,80,47,0.73,BR,1697680302
317,berdigestyakh,62.0989,126.6992,-4.84,89,100,3.58,RU,1697680302
318,siwa oasis,29.2041,25.5195,22.39,37,1,2.22,EG,1697680302
319,kaa-khem,51.6833,94.7333,4.11,59,0,1.42,RU,1697680302
320,east chicago,41.6392,-87.4548,17.23,60,0,5.66,US,1697680302
321,akureyri,65.6835,-18.0878,8.96,61,20,7.72,IS,1697680302
322,lanivtsi,49.8633,26.0908,3.12,78,12,2.44,UA,1697680302
323,cordeiro,-22.0286,-42.3608,20.16,89,97,1.34,BR,1697680303
324,kenai,60.5544,-151.2583,9.05,71,0,2.06,US,1697680303
325,chadan,51.2833,91.5833,5.46,63,0,0.09,RU,1697680303
326,aasiaat,68.7098,-52.8699,-14.16,84,89,1.1,GL,1697680303
327,valparaiso,-33.0393,-71.6273,12.8,66,0,1.54,CL,1697680030
328,tabou,4.423,-7.3528,24.95,91,94,2.2,CI,1697680303
329,brookings,44.3114,-96.7984,11.21,85,100,1.34,US,1697680011
330,madalena,41.2162,-8.3345,17.48,93,100,5.96,PT,1697680303
331,northam,51.0333,-4.2167,17.59,98,56,5.59,GB,1697680304
332,doctor alberto oviedo mota,32.2275,-115.1697,33.89,12,0,2.46,MX,1697680304
333,shitanjing,39.2342,106.3439,7.92,58,100,3.8,CN,1697680304
334,pierre,44.3683,-100.351,13.51,77,75,6.69,US,1697680304
335,kapuskasing,49.4169,-82.4331,9.05,81,100,2.06,CA,1697680304
336,fort saskatchewan,53.7168,-113.2187,17.43,65,75,7.72,CA,1697680304
337,atamyrat,37.8357,65.2106,16.34,52,0,2.91,TM,1697680304
338,ghat,24.9647,10.1728,26.43,20,23,3.64,LY,1697680304
339,xai-xai,-25.0519,33.6442,21.04,88,76,3.67,MZ,1697680305
340,adjumani,3.3779,31.7909,18.92,98,100,0.6,UG,1697680305
341,arraial do cabo,-22.9661,-42.0278,21.98,83,100,4.63,BR,1697680305
342,velyka oleksandrivka,47.3197,33.3037,7.38,75,62,4.68,UA,1697680305
343,tindouf,27.6711,-8.1474,24.25,22,0,3.6,DZ,1697680305
344,bubaque,11.2833,-15.8333,28.07,77,89,3.32,GW,1697680305
345,gaiman,-43.2897,-65.4929,22.65,16,100,12.62,AR,1697680305
346,el aouinet,35.8669,7.8867,19.21,31,25,2.1,DZ,1697680305
347,xichang,27.8964,102.2634,17.9,73,3,0.78,CN,1697680305
348,new albany,38.2856,-85.8241,16.05,75,75,3.09,US,1697680305
349,igarka,67.4667,86.5833,4.7,98,100,6.78,RU,1697680306
350,clarence town,-32.5833,151.7833,23.23,34,1,3.06,AU,1697680306
351,marshfield,44.6689,-90.1718,12.95,76,100,3.09,US,1697680306
352,pudozh,61.8099,36.5345,4.41,72,100,5.81,RU,1697680306
353,nema,57.5067,50.5011,1.01,92,77,4.71,RU,1697680306
354,smithers,54.7804,-127.1743,13.18,58,40,3.6,CA,1697680306
355,laguna,38.421,-121.4238,28.98,45,0,1.54,US,1697680285
356,kuhmo,64.1333,29.5167,-1.06,90,99,3.57,FI,1697680306
357,isangel,-19.55,169.2667,25.06,88,75,3.09,VU,1697680306
358,magadan,59.5667,150.8,-0.26,75,26,4.92,RU,1697680306
359,eket,4.6412,7.9209,25.33,89,100,2.24,NG,1697680307
360,mountain top,40.1068,-75.9527,9.97,89,0,2.06,US,1697680093
361,val-d'or,48.1002,-77.7828,8.05,93,75,3.09,CA,1697680307
362,oamaru,-45.0784,170.9801,15.8,68,59,5.1,NZ,1697680307
363,santa terezinha,-29.9002,-50.0904,16.55,78,77,3.55,BR,1697680307
